コード,Cluster_From,Cluster_To,Period
4772,1,1,2010-2011
4776,4,4,2010-2011
4777,0,4,2010-2011
4783,0,0,2010-2011
4784,4,4,2010-2011
4792,4,4,2010-2011
4800,0,0,2010-2011
4801,0,0,2010-2011
4809,0,0,2010-2011
4812,2,2,2010-2011
4813,4,2,2010-2011
4814,1,1,2010-2011
4816,2,2,2010-2011
4819,1,0,2010-2011
4820,1,4,2010-2011
4825,4,4,2010-2011
4826,2,0,2010-2011
4828,4,0,2010-2011
4829,4,4,2010-2011
4832,4,4,2010-2011
4833,0,1,2010-2011
4838,1,4,2010-2011
4839,2,2,2010-2011
4840,4,4,2010-2011
4845,4,1,2010-2011
4847,4,4,2010-2011
4848,0,2,2010-2011
4902,3,3,2010-2011
4911,3,3,2010-2011
4912,3,3,2010-2011
4914,3,3,2010-2011
4917,2,2,2010-2011
4918,4,4,2010-2011
4919,4,2,2010-2011
4920,1,0,2010-2011
4922,2,2,2010-2011
4923,4,4,2010-2011
4925,0,0,2010-2011
4926,4,4,2010-2011
4927,2,2,2010-2011
4951,2,2,2010-2011
4956,3,3,2010-2011
4957,0,0,2010-2011
4958,2,2,2010-2011
4960,0,0,2010-2011
4966,2,2,2010-2011
4967,2,2,2010-2011
4968,0,0,2010-2011
4970,0,0,2010-2011
4971,4,4,2010-2011
4972,0,0,2010-2011
4973,4,4,2010-2011
4974,2,2,2010-2011
4975,0,0,2010-2011
4976,4,0,2010-2011
4977,0,0,2010-2011
4985,3,3,2010-2011
4990,0,0,2010-2011
4992,0,0,2010-2011
4994,4,4,2010-2011
4996,2,2,2010-2011
4997,0,2,2010-2011
4998,0,0,2010-2011
5010,0,0,2010-2011
5011,2,2,2010-2011
5013,0,2,2010-2011
5015,4,4,2010-2011
5017,3,3,2010-2011
5018,0,0,2010-2011
5019,3,3,2010-2011
5101,3,3,2010-2011
5103,1,1,2010-2011
5105,3,3,2010-2011
5108,3,3,2010-2011
5110,3,3,2010-2011
5121,0,0,2010-2011
5122,3,3,2010-2011
5142,2,3,2010-2011
5161,0,3,2010-2011
5162,0,0,2010-2011
5184,0,0,2010-2011
5185,0,0,2010-2011
5186,0,2,2010-2011
5187,0,4,2010-2011
5189,0,0,2010-2011
5191,3,3,2010-2011
5192,0,3,2010-2011
5194,0,0,2010-2011
5195,3,3,2010-2011
5199,0,0,2010-2011
5201,2,2,2010-2011
5202,3,3,2010-2011
5204,0,0,2010-2011
5208,0,0,2010-2011
5210,3,3,2010-2011
5214,3,3,2010-2011
5216,0,0,2010-2011
5218,2,0,2010-2011
